tile_id,city,split,positive_pct,negative_pct,positive_negative_ratio,components,largest_component_pct,median_component_size,mega_components_gt_5000px,target_min,target_max
SV_Barcelona_41.3925_2.1498.tif,Barcelona,train,65.38276672363281,34.61723327636719,1.8887346138164347,8,17.9779052734375,19150.5,7,0.0,44.684356689453125
SV_Barcelona_41.3787_2.1564.tif,Barcelona,train,58.031463623046875,41.968536376953125,1.3827373702485048,11,16.313552856445312,10540.0,8,0.0,44.465789794921875
SV_Barcelona_41.3863_2.1462.tif,Barcelona,train,72.52082824707031,27.479171752929688,2.639119872284306,8,20.36895751953125,16542.5,7,0.0,36.970706939697266
SV_Barcelona_41.3953_2.1531.tif,Barcelona,train,66.15104675292969,33.84895324707031,1.9543011055638826,8,20.449447631835938,18483.0,6,0.0,84.70072174072266
SV_Barcelona_41.3900_2.1443.tif,Barcelona,train,65.21682739257812,34.783172607421875,1.8749533899234498,12,18.507003784179688,11982.0,8,0.0,49.938148498535156
SV_Barcelona_41.3821_2.1533.tif,Barcelona,train,57.31391906738281,42.68608093261719,1.342684027560568,9,14.96734619140625,13008.0,6,0.0,36.17157745361328
SV_Barcelona_41.3821_2.1519.tif,Barcelona,train,64.99710083007812,35.002899169921875,1.8569062098127684,9,20.255279541015625,16630.0,7,0.0,35.44349670410156
SV_Barcelona_41.3849_2.1462.tif,Barcelona,train,65.34805297851562,34.651947021484375,1.885840727448865,9,20.557785034179688,11264.0,5,0.0,35.30915451049805
SV_Barcelona_41.3810_2.1481.tif,Barcelona,train,64.15481567382812,35.845184326171875,1.7897750250090458,7,19.750213623046875,26599.0,5,0.0,41.087074279785156
SV_Barcelona_41.3924_2.1443.tif,Barcelona,train,56.30035400390625,43.69964599609375,1.2883480568455603,12,19.7845458984375,4114.0,4,0.0,79.82062530517578
SV_Barcelona_41.3820_2.1463.tif,Barcelona,train,69.63386535644531,30.366134643554688,2.293142218258106,7,19.777679443359375,22638.0,7,0.0,36.79987716674805
