tile,building_pixels_pct,buildings,area_mean,area_median,area_p95,width_mean,height_mean,aspect_mean,compactness_mean,perimeter_mean,split
SV_Copenhagen_55.6747_12.5414.tif,36.444854736328125,58,1647.0,951.5,5186.099999999997,42.55172413793103,49.91379310344828,0.9757432806256299,0.6063406621853239,188.11301599288808,copenhagen
SV_Copenhagen_55.6828_12.5583.tif,15.447616577148438,7,5785.0,3848.0,10925.899999999998,113.57142857142857,137.0,0.9156430440593251,0.3095710589558399,523.9384102651051,copenhagen
SV_Copenhagen_55.6748_12.5454.tif,41.31736755371094,40,2707.775,1162.0,11365.599999999993,65.575,59.275,1.1104018620596636,0.5132036984964674,275.81925543248656,copenhagen
SV_Copenhagen_55.6724_12.5589.tif,56.38160705566406,31,4766.774193548387,2517.0,13237.0,75.29032258064517,80.41935483870968,1.0456864814067062,0.5624686203621948,318.7230322514811,copenhagen
SV_Copenhagen_55.6762_12.5631.tif,45.435333251953125,16,7444.125,2997.5,27434.5,97.25,97.375,1.0914518609517974,0.5306042320339819,445.59642042964697,copenhagen
SV_Copenhagen_55.6801_12.5629.tif,25.207138061523438,10,6607.9,7612.5,14534.499999999989,92.1,124.7,0.9132156797296116,0.3854977978774251,445.6588203072548,copenhagen
SV_Copenhagen_55.6799_12.5366.tif,45.433807373046875,37,3218.5675675675675,1069.0,15404.399999999969,56.16216216216216,64.0,0.9394899084508157,0.5464351165094419,276.77691435169527,copenhagen
SV_Copenhagen_55.6984_12.5817.tif,50.383758544921875,19,6951.473684210527,4679.0,17464.19999999996,99.0,112.0,1.1097157558420017,0.40706547769897533,459.3558414923517,copenhagen
SV_Copenhagen_55.6739_12.5632.tif,53.10707092285156,12,11601.416666666666,2641.5,51305.04999999994,97.66666666666667,112.75,0.838504930298131,0.453088079263191,437.31306741635007,copenhagen
SV_Copenhagen_55.6999_12.5877.tif,38.800811767578125,12,8476.166666666666,7599.5,19019.85,115.58333333333333,132.91666666666666,1.0164982788588823,0.38864907023012835,603.1409000356992,copenhagen
SV_Copenhagen_55.6939_12.5502.tif,34.5947265625,14,6477.714285714285,3166.5,19800.699999999997,98.35714285714286,112.64285714285714,0.9917373656941785,0.46936321033938455,484.3447231735502,copenhagen
SV_Copenhagen_55.6770_12.5512.tif,38.00468444824219,29,3435.2758620689656,1938.0,9436.8,62.793103448275865,78.20689655172414,0.9267294982589307,0.6012057477303923,258.23509564481935,copenhagen
SV_Copenhagen_55.6699_12.5541.tif,47.994232177734375,20,6288.65,613.0,23654.90000000001,80.05,91.15,1.2622661935182276,0.5044755439966975,383.41094569563865,copenhagen
SV_Copenhagen_55.6798_12.5510.tif,46.19140625,23,5264.391304347826,1491.0,14254.099999999999,79.69565217391305,89.21739130434783,1.2349110249440944,0.4620414012070216,384.77689714017123,copenhagen
SV_Copenhagen_55.6800_12.5585.tif,40.753173828125,7,15260.142857142857,1604.0,46027.799999999996,90.14285714285714,158.14285714285714,0.6211676200630928,0.6071319937972175,626.0838567529406,copenhagen
SV_Copenhagen_55.6950_12.5501.tif,44.19059753417969,14,8274.07142857143,3297.0,30853.55,104.85714285714286,132.57142857142858,1.473665892838397,0.41816804400779245,611.2361055271966,copenhagen
SV_Copenhagen_55.6800_12.5610.tif,43.20716857910156,11,10296.181818181818,7934.0,32787.5,95.72727272727273,124.36363636363636,0.876453401685622,0.5358152983465466,404.46841555291957,copenhagen
SV_Copenhagen_55.6947_12.5881.tif,23.151779174804688,14,4335.071428571428,1764.0,14369.049999999997,90.07142857142857,97.5,1.0407911041937337,0.41685252383973076,382.9170851111412,copenhagen
SV_Copenhagen_55.6815_12.5628.tif,17.041015625,10,4467.2,1360.0,17318.84999999998,68.7,84.9,0.9637094350664837,0.4955987969452685,346.3336336016655,copenhagen
SV_Copenhagen_55.6800_12.5451.tif,45.92132568359375,35,3439.057142857143,1105.0,12969.499999999993,61.4,70.37142857142857,1.0890556634815676,0.5099235531387754,314.79529576301576,copenhagen
SV_Copenhagen_55.7013_12.5865.tif,47.076416015625,21,5876.571428571428,3290.0,14838.0,90.71428571428571,101.57142857142857,0.8474215774245912,0.48440214987159597,367.02270083768025,copenhagen
SV_Copenhagen_55.6797_12.5292.tif,46.154022216796875,23,5260.0,1182.0,30652.299999999977,75.43478260869566,63.69565217391305,1.2243448941024164,0.5652321496554231,361.0518837441569,copenhagen
SV_Copenhagen_55.6909_12.5822.tif,36.04164123535156,26,3633.8846153846152,1815.5,9177.5,89.96153846153847,70.46153846153847,1.2423396072219837,0.45269902608507895,313.45024183621774,copenhagen
SV_Copenhagen_55.6762_12.5612.tif,38.74359130859375,14,7254.571428571428,1745.0,26755.649999999983,88.57142857142857,105.35714285714286,1.1159756439760715,0.4695666859188452,463.5629786678723,copenhagen
SV_Copenhagen_55.6769_12.5294.tif,21.103668212890625,14,3951.285714285714,1049.0,19390.449999999997,60.714285714285715,85.78571428571429,1.3481841942137684,0.5261797070583281,368.42547253199984,copenhagen
SV_Copenhagen_55.6758_12.5454.tif,46.063995361328125,39,3096.025641025641,988.0,16501.300000000003,59.666666666666664,67.61538461538461,0.8941045250164001,0.550481621071267,294.4428148330786,copenhagen
SV_Copenhagen_55.6799_12.5410.tif,35.40229797363281,36,2577.4444444444443,1427.5,9529.0,53.111111111111114,59.44444444444444,1.0188649784584198,0.5736211478247453,233.47988075349065,copenhagen
SV_Copenhagen_55.6784_12.5511.tif,37.348175048828125,30,3263.5333333333333,1722.0,10926.949999999988,64.66666666666667,76.0,0.9932717441707433,0.5148533235102677,290.4999525030454,copenhagen
SV_Copenhagen_55.6881_12.5848.tif,57.29179382324219,35,4290.6,3470.0,12697.999999999987,82.82857142857142,82.31428571428572,1.0294134653890634,0.46456598639075875,340.7702676364354,copenhagen
SV_Copenhagen_55.6923_12.5821.tif,7.843780517578125,9,2284.6666666666665,476.0,8226.8,63.22222222222222,68.55555555555556,1.1301466402961788,0.46729402764178907,246.4007032447391,copenhagen
SV_Copenhagen_55.6957_12.5880.tif,22.438812255859375,15,3921.4666666666667,1283.0,13697.799999999992,74.93333333333334,79.06666666666666,1.008326793125356,0.48307343223016425,287.48233037789663,copenhagen
SV_Copenhagen_55.6805_12.5853.tif,55.336761474609375,11,13187.454545454546,5083.0,44741.0,115.18181818181819,163.72727272727272,0.859066315045001,0.30569269785843983,718.3381236466495,copenhagen
SV_Copenhagen_55.6992_12.5523.tif,40.30647277832031,16,6603.8125,2917.0,21428.25,92.25,112.875,1.531402817125402,0.42749089344553987,449.12522649765015,copenhagen
SV_Copenhagen_55.6950_12.5526.tif,37.00370788574219,19,5105.1578947368425,3956.0,13123.199999999983,68.84210526315789,131.73684210526315,0.7201420167895305,0.3985985727011869,468.70695362593,copenhagen
SV_Copenhagen_55.6746_12.5370.tif,40.73371887207031,32,3336.15625,1202.5,13014.199999999999,56.25,83.40625,1.3218369963874648,0.5113162642406452,310.3493178114295,copenhagen
SV_Copenhagen_55.6833_12.5826.tif,62.53166198730469,14,11708.785714285714,5402.5,43607.299999999996,116.5,128.42857142857142,0.9576561490551514,0.3666156532335414,586.5051236748695,copenhagen
SV_Copenhagen_55.6770_12.5343.tif,37.12310791015625,35,2779.6285714285714,1033.0,11287.799999999988,58.82857142857143,62.82857142857143,0.9579619771478528,0.6301308264122939,266.5225961923599,copenhagen
