tile_id,category,base_peak_height,aug_peak_height,gt_peak_height,base_roof_area_px,aug_roof_area_px,gt_roof_area_px,height_error_reduction_m
SV_NewYork_40.7373_-74.0034.tif,skyscraper,75.13426971435547,19.260271072387695,63.37625503540039,262067,262143,119471,-32.357967376708984
SV_NewYork_40.7372_-73.9901.tif,skyscraper,75.26618957519531,19.212526321411133,99.74158477783203,261719,262019,103897,-56.05366516113281
SV_NewYork_40.7374_-74.0108.tif,skyscraper,79.3121337890625,17.482576370239258,59.90920639038086,258115,231340,89474,-23.023700714111328
SV_NewYork_40.7360_-74.0071.tif,highrise,71.77571105957031,19.36758041381836,48.67888641357422,262107,262143,132535,-6.214481353759766
SV_NewYork_40.7400_-73.9852.tif,skyscraper,70.88056945800781,19.28643798828125,97.09562683105469,261943,262115,110688,-51.59413146972656
SV_NewYork_40.7344_-73.9916.tif,skyscraper,75.45234680175781,19.272743225097656,101.14839172363281,261711,262143,126637,-56.179603576660156
SV_NewYork_40.7345_-74.0034.tif,skyscraper,77.01861572265625,19.13446044921875,61.30405807495117,261935,260571,126994,-26.455039978027344
SV_NewYork_40.7335_-74.0053.tif,highrise,76.4495849609375,19.153850555419922,57.85270690917969,261467,260931,128377,-20.101978302001953
SV_NewYork_40.7334_-74.0020.tif,skyscraper,72.491455078125,18.09955406188965,64.35079956054688,259975,240467,120342,-38.11058807373047
SV_NewYork_40.7359_-74.0020.tif,skyscraper,81.33198547363281,18.999393463134766,61.29999542236328,261903,260495,117755,-22.268611907958984
SV_NewYork_40.7333_-73.9798.tif,skyscraper,76.40188598632812,17.16571807861328,56.24441146850586,260543,201139,48782,-18.921218872070312
SV_NewYork_40.7388_-74.0108.tif,skyscraper,81.09713745117188,17.981813430786133,59.90854263305664,257683,250222,81450,-20.73813247680664
SV_NewYork_40.7334_-73.9990.tif,skyscraper,48.543678283691406,16.589500427246094,106.04096984863281,222682,212459,100235,-31.954177856445312
SV_NewYork_40.7374_-74.0052.tif,mediumrise,74.0402603149414,19.23332977294922,61.962799072265625,261555,262111,143268,-30.652008056640625
SV_NewYork_40.7386_-73.9852.tif,skyscraper,72.19733428955078,19.35504722595215,97.09720611572266,262107,261947,113711,-52.84228515625
SV_NewYork_40.7387_-73.9915.tif,skyscraper,74.1089096069336,19.271434783935547,91.97145080566406,261959,262143,125550,-54.83747100830078
SV_NewYork_40.7335_-74.0108.tif,skyscraper,78.13488006591797,18.833606719970703,64.74529266357422,259323,256443,102419,-32.522098541259766
SV_NewYork_40.7345_-73.9971.tif,skyscraper,73.18238830566406,18.519731521606445,80.07666015625,261403,248735,130376,-54.66265869140625
SV_NewYork_40.7359_-74.0034.tif,skyscraper,77.0920639038086,19.248022079467773,61.30410385131836,261639,262143,130952,-26.268123626708984
SV_NewYork_40.7401_-73.9952.tif,skyscraper,67.74793243408203,19.39980125427246,100.60273742675781,261687,261591,157454,-48.34812927246094
SV_NewYork_40.7388_-74.0089.tif,skyscraper,78.74334716796875,19.282955169677734,52.381690979003906,260023,262135,138170,-6.737079620361328
SV_NewYork_40.7345_-73.9990.tif,skyscraper,72.40596008300781,19.250288009643555,68.37654113769531,261579,261815,141111,-45.096832275390625
SV_NewYork_40.7402_-74.0089.tif,skyscraper,80.3388442993164,19.201202392578125,52.9764404296875,261839,262031,135768,-6.412834167480469
SV_NewYork_40.7388_-74.0034.tif,skyscraper,78.4634780883789,19.167373657226562,63.37493133544922,261675,262103,126865,-29.11901092529297
SV_NewYork_40.7371_-73.9783.tif,skyscraper,79.43778991699219,17.459518432617188,82.36690521240234,260295,230927,62310,-61.978271484375
SV_NewYork_40.7333_-73.9872.tif,skyscraper,75.61566162109375,19.242446899414062,74.2821044921875,261675,262143,124351,-53.70610046386719
SV_NewYork_40.7400_-73.9901.tif,skyscraper,66.43773651123047,19.421489715576172,95.61286163330078,261963,262143,126648,-47.01625061035156
SV_NewYork_40.7343_-73.9783.tif,skyscraper,77.88452911376953,17.728410720825195,61.698463439941406,255035,236843,53128,-27.78398895263672
SV_NewYork_40.7346_-74.0053.tif,skyscraper,75.8941650390625,19.25847816467285,57.854339599609375,260911,262143,128781,-20.55603790283203
SV_NewYork_40.7400_-73.9834.tif,skyscraper,73.07658386230469,19.256742477416992,83.63521575927734,261919,262143,121172,-53.81983947753906
SV_NewYork_40.7374_-74.0071.tif,highrise,76.00226593017578,19.224822998046875,61.96296310424805,261603,261943,122963,-28.698837280273438
SV_NewYork_40.7402_-74.0052.tif,skyscraper,77.14366149902344,19.26015281677246,61.241580963134766,261619,262103,111179,-26.079349517822266
SV_NewYork_40.7400_-73.9797.tif,skyscraper,76.06280517578125,19.06192970275879,98.858642578125,262087,259623,106238,-57.000877380371094
SV_NewYork_40.7387_-73.9971.tif,skyscraper,71.47520446777344,19.25484275817871,100.61981201171875,261415,262107,134408,-52.220359802246094
SV_NewYork_40.7402_-74.0034.tif,skyscraper,76.35221099853516,19.152820587158203,87.93559265136719,261947,261019,126196,-57.19939422607422
SV_NewYork_40.7358_-73.9902.tif,skyscraper,74.6610336303711,19.2088623046875,144.93002319335938,261315,261851,102771,-55.452171325683594
SV_NewYork_40.7387_-73.9934.tif,skyscraper,70.02255249023438,19.319734573364258,87.96644592285156,261955,262143,145450,-50.70281982421875
SV_NewYork_40.7400_-73.9815.tif,skyscraper,77.92283630371094,19.18284034729004,98.86045837402344,261991,262143,118849,-58.73999786376953
SV_NewYork_40.7343_-73.9798.tif,skyscraper,76.66575622558594,18.114017486572266,60.61927032470703,256379,244031,56674,-26.45876693725586
SV_NewYork_40.7372_-73.9834.tif,skyscraper,72.35091400146484,19.261465072631836,60.66816711425781,261963,262143,126327,-29.723953247070312
SV_NewYork_40.7358_-73.9816.tif,skyscraper,78.28007507324219,19.13808250427246,76.1622543334961,261651,260959,91381,-54.906349182128906
SV_NewYork_40.7334_-73.9972.tif,skyscraper,73.0827865600586,18.690954208374023,106.04055786132812,260915,252939,127287,-54.39183044433594
SV_NewYork_40.7344_-73.9853.tif,skyscraper,78.35270690917969,18.0096435546875,71.257568359375,261807,242799,80847,-46.15278625488281
SV_NewYork_40.7359_-73.9971.tif,skyscraper,76.04620361328125,18.785608291625977,88.79747772216797,261211,255979,133099,-57.260597229003906
SV_NewYork_40.7402_-74.0071.tif,skyscraper,79.9246597290039,19.197528839111328,63.15229415893555,261403,262143,116232,-27.18239974975586
SV_NewYork_40.7344_-73.9835.tif,skyscraper,77.79606628417969,18.827518463134766,76.15769958496094,261067,256231,101862,-55.69181442260742
SV_NewYork_40.7385_-73.9797.tif,skyscraper,78.65750885009766,19.22626495361328,82.37067413330078,261911,262143,103186,-59.431243896484375
SV_NewYork_40.7400_-73.9871.tif,skyscraper,72.89773559570312,19.202320098876953,95.74150848388672,261607,261423,107314,-53.695411682128906
SV_NewYork_40.7360_-74.0053.tif,mediumrise,73.25582885742188,19.25848388671875,48.67866897583008,261851,262123,144260,-4.843025207519531
SV_NewYork_40.7333_-73.9902.tif,skyscraper,71.41160583496094,19.21552276611328,87.84417724609375,261675,261123,121320,-52.196083068847656
SV_NewYork_40.7335_-74.0072.tif,highrise,76.05923461914062,19.054903030395508,48.32762145996094,261227,258791,126509,-1.5411052703857422
SV_NewYork_40.7358_-73.9871.tif,skyscraper,73.11463165283203,18.641494750976562,96.88618469238281,261091,256170,110791,-54.47313690185547
SV_NewYork_40.7333_-73.9853.tif,skyscraper,74.2214126586914,18.848140716552734,60.57810974121094,261623,255071,115957,-28.086666107177734
SV_NewYork_40.7373_-73.9989.tif,skyscraper,73.62055206298828,19.223703384399414,69.38294982910156,261619,261591,120438,-45.92164611816406
SV_NewYork_40.7372_-73.9871.tif,skyscraper,74.73481750488281,19.247798919677734,96.88618469238281,262055,262143,114631,-55.48701477050781
SV_NewYork_40.7334_-73.9953.tif,skyscraper,74.66094207763672,19.123088836669922,80.1369400024414,258227,259235,132946,-55.5378532409668
SV_NewYork_40.7344_-73.9902.tif,skyscraper,72.85177612304688,19.193927764892578,144.93035888671875,262067,261359,114072,-53.65785217285156
SV_NewYork_40.7335_-74.0035.tif,skyscraper,74.1497802734375,18.79833984375,57.853336334228516,261531,254847,128296,-22.75855255126953
SV_NewYork_40.7372_-73.9916.tif,skyscraper,77.1283950805664,19.110260009765625,99.73983001708984,261823,260223,57637,-58.01813507080078
