tile_id,city,split,rgb_path,dsm_path,train_arm_a
SV_Barcelona_41.3925_2.1498.tif,Barcelona,train,rgb/SV_Barcelona_41.3925_2.1498.tif,dsm/SV_Barcelona_41.3925_2.1498.tif,yes
SV_Barcelona_41.3787_2.1564.tif,Barcelona,train,rgb/SV_Barcelona_41.3787_2.1564.tif,dsm/SV_Barcelona_41.3787_2.1564.tif,yes
SV_Barcelona_41.3863_2.1462.tif,Barcelona,train,rgb/SV_Barcelona_41.3863_2.1462.tif,dsm/SV_Barcelona_41.3863_2.1462.tif,yes
SV_Barcelona_41.3953_2.1531.tif,Barcelona,train,rgb/SV_Barcelona_41.3953_2.1531.tif,dsm/SV_Barcelona_41.3953_2.1531.tif,yes
SV_Barcelona_41.3900_2.1443.tif,Barcelona,train,rgb/SV_Barcelona_41.3900_2.1443.tif,dsm/SV_Barcelona_41.3900_2.1443.tif,yes
SV_Barcelona_41.3821_2.1533.tif,Barcelona,train,rgb/SV_Barcelona_41.3821_2.1533.tif,dsm/SV_Barcelona_41.3821_2.1533.tif,yes
SV_Barcelona_41.3821_2.1519.tif,Barcelona,train,rgb/SV_Barcelona_41.3821_2.1519.tif,dsm/SV_Barcelona_41.3821_2.1519.tif,yes
SV_Barcelona_41.3849_2.1462.tif,Barcelona,train,rgb/SV_Barcelona_41.3849_2.1462.tif,dsm/SV_Barcelona_41.3849_2.1462.tif,yes
SV_Barcelona_41.3810_2.1481.tif,Barcelona,train,rgb/SV_Barcelona_41.3810_2.1481.tif,dsm/SV_Barcelona_41.3810_2.1481.tif,yes
SV_Barcelona_41.3924_2.1443.tif,Barcelona,train,rgb/SV_Barcelona_41.3924_2.1443.tif,dsm/SV_Barcelona_41.3924_2.1443.tif,yes
SV_Barcelona_41.3820_2.1463.tif,Barcelona,train,rgb/SV_Barcelona_41.3820_2.1463.tif,dsm/SV_Barcelona_41.3820_2.1463.tif,yes
SV_Barcelona_41.3911_2.1499.tif,Barcelona,train,rgb/SV_Barcelona_41.3911_2.1499.tif,dsm/SV_Barcelona_41.3911_2.1499.tif,yes
SV_Barcelona_41.3910_2.1443.tif,Barcelona,train,rgb/SV_Barcelona_41.3910_2.1443.tif,dsm/SV_Barcelona_41.3910_2.1443.tif,yes
SV_Barcelona_41.3939_2.1531.tif,Barcelona,train,rgb/SV_Barcelona_41.3939_2.1531.tif,dsm/SV_Barcelona_41.3939_2.1531.tif,yes
SV_Barcelona_41.3810_2.1463.tif,Barcelona,train,rgb/SV_Barcelona_41.3810_2.1463.tif,dsm/SV_Barcelona_41.3810_2.1463.tif,yes
SV_Barcelona_41.3835_2.1481.tif,Barcelona,train,rgb/SV_Barcelona_41.3835_2.1481.tif,dsm/SV_Barcelona_41.3835_2.1481.tif,yes
SV_Barcelona_41.3835_2.1533.tif,Barcelona,train,rgb/SV_Barcelona_41.3835_2.1533.tif,dsm/SV_Barcelona_41.3835_2.1533.tif,yes
SV_Barcelona_41.3773_2.1482.tif,Barcelona,train,rgb/SV_Barcelona_41.3773_2.1482.tif,dsm/SV_Barcelona_41.3773_2.1482.tif,yes
SV_Barcelona_41.3835_2.1500.tif,Barcelona,train,rgb/SV_Barcelona_41.3835_2.1500.tif,dsm/SV_Barcelona_41.3835_2.1500.tif,yes
SV_Barcelona_41.3834_2.1462.tif,Barcelona,train,rgb/SV_Barcelona_41.3834_2.1462.tif,dsm/SV_Barcelona_41.3834_2.1462.tif,yes
SV_Barcelona_41.3967_2.1498.tif,Barcelona,train,rgb/SV_Barcelona_41.3967_2.1498.tif,dsm/SV_Barcelona_41.3967_2.1498.tif,yes
SV_Barcelona_41.3967_2.1517.tif,Barcelona,train,rgb/SV_Barcelona_41.3967_2.1517.tif,dsm/SV_Barcelona_41.3967_2.1517.tif,yes
